RecipeName,Ingredients,Course,Cuisine,Diet,TranslatedInstructions,TotalTimeInMins,Cuisine_Clean,MealType,Cleaned_Ingredients
Raw Banana Tikkis Recipe,"4 Raw Banana,1 Onion - finely chopped,2 Green Chillies - finely chopped,1 inch Ginger - finely chopped,1 tablespoon Coriander Powder (Dhania),1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Clove powder (Laung),1/4 teaspoon Cinnamon Powder (Dalchini),1/4 teaspoon Cardamom Powder (Elaichi),2 tablespoons Gram flour (besan),1 teaspoon Amchur (Dry Mango Powder),2 tablespoons Lemon juice,2 tablespoons Ghee,5 Dates,6 Whole cashews,1 inch Ginger - finely chopped,2 Green Chillies - finely chopped",Snack,Indian,Vegetarian,"To begin making the Raw Banana Tikkis, first remove the seeds from the dates and finely chop them. Next, add finely chopped the cashew nuts, ginger and green chillies and dates in a bowl along with some salt and keep aside.  Place the raw bananas in a pot of boiling water for 15 minutes. After 15 minutes, cool the bananas completely, peel the skin and grate the bananas into a plate and keep aside. Place a pan on low heat and add a teaspoon of ghee. Once the ghee is warm, add cumin seeds. Once the cumin seeds crackle, add finely chopped green chillies, ginger and onions and saute until the onions are browned. Once the onions are browned, add the grated banana, salt, red chilli powder, dry mango powder, lemon juice, gram flour (besan), clove powder, cinnamon powder and elaichi powder. Mix all the ingredients until well combined. Stir the mixture for a few more minutes and turn off the heat. Once the raw banana mixture is cool, add in the chopped coriander leaves and mix well. Divide the raw banana mixture into equal portions.Take a portion of the  banana mixture in your palm and flatten it our a little in circular shape.Make a cavity in the center and place a small portion of the dates filling inside it. Cover the filling completely and seal from all sides.Prepare the remaining  tikkis in this manner until all the raw banana mixture is used up. Place a skillet on low-medium heat and add a tablespoon of ghee on it. Place the prepared stuffed kebabs on the skillet and shallow fry the tikkis on both sides until they are golden brown. The process of shallow frying each tikki will take at least 8 to 10 minutes. Take the Raw Banana Tikkis off the flame and they are ready to be served. Serve Raw Banana Tikkis along with Dhaniya Pudina Chutney and a cup of Adrak Chai for a light and healthy evening snack.",45,Indian,Snack,"['raw banana', 'onion', 'green chillies', 'inch ginger', 'coriander powder', 'cumin seeds', 'clove powder', 'cinnamon powder', 'cardamom powder', 'flour', 'amchur', 'lemon juice', 'ghee', 'dates', 'cashews']"
Katachi Amti Recipe (Spicy Accompaniment To Maharashtrian Puran Poli),"2 cups Dal Stock - water left over from cooking the chana dal for puran poli,1 cup Water - (or as required to thin down the stock),3 Cloves (Laung),1 to 2 Whole Black Peppercorns,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 Bay leaf (tej patta),5 to 6 Curry leaves - torn into pieces,1 teaspoon Jaggery - grated (adjust the amount to taste),1 teaspoon Tamarind Paste - (adjust the amount to taste),1/2 teaspoon Maharashtrian Goda Masala,1 tablespoon Sunflower Oil,Coriander (Dhania) Leaves - Handful,Salt - to taste",Lunch,Maharashtrian Recipes,Vegetarian,"To begin making the Katachi Amti recipe, first mix water with the stock (also called as Kat).Heat the oil in a saucepan. Add the mustard seeds.Once they splutter, add the cloves, bay leaf and peppercorns.Fry for few seconds and then add the cumin seeds. Add curry leaves and coriander leaves.Add the diluted Kat. Add jaggery, tamarind pulp, Masala and season with salt.Bring it to a rolling boil and serve hot. Spicy Katchi Amti complements the sweet Puran Poli or you can also serve it with steamed rice.",25,Maharashtrian,Lunch,"['dal', 'cloves', 'black peppercorns', 'mustard seeds', 'cumin seeds', 'bay', 'curry', 'jaggery', 'tamarind paste', 'maharashtrian goda masala', 'sunflower oil', 'coriander']"
Maharashtrian Vegetable Amboli Recipe (Savory Lentil Pancake Topped With Vegetables),"1 cup Brown Rice - soaked in water for 6-7 hours,1/4 cup White Urad Dal (Split) - without skin,1 teaspoon Methi Seeds (Fenugreek Seeds) - soaked in water for 6-7 hours,3 tablespoons Red Poha (Flattened Red Rice) - soaked in water for 6-7 hours,Sunflower Oil - or ghee for cooking,Salt - to taste,1 Red Bell pepper (Capsicum) - chopped,1 cup Del Monte Whole Corn Kernels - steamed and drained,Coriander (Dhania) Leaves - 1 bunch,Cajun spice mix - or Chutney Podi for sprinkling on top",Indian Breakfast,Maharashtrian Recipes,Vegetarian,"To begin making the Maharashtrian Vegetable Amboli Recipe grind the urad dal along with the fenugreek seeds with just enough water required to make a smooth paste.Grind the brown rice along with the Poha, similarly, with just enough water required to make a smooth paste.Mix the batters together, till well combined. place them in a large vessel, with enough space for it to ferment and rise.Cover and set aside in a warm place to ferment overnight.When you are ready to make the Amboli, add salt and mix well. Adjust the consistency by adding water if required to make a thick batter that is not runny, but pourable and spreadable, like a dosa batter.Place a skillet/tava on the heat and warm it up.Pour of ladle full of the Amboli batter and spread to make a thick pancake. Drizzle oil or ghee on the sides and allow it to cook on one side.Sprinkle the red pepper, corn and coriander on top of the pancake. Cook on medium heat till the bottom is browned.Carefully flip and cook on the other side for a minute.When the vegetables are cooked along with the amboli, take it off the skillet and serve hot. Serve Maharashtrian Vegetable Amboli along with High Protein Peanut Chutney or Red Chilli Coconut Chutney for a filling breakfast.",380,Maharashtrian,Breakfast,"['brown rice', 'white urad dal', 'methi seeds', 'red poha', 'sunflower oil', 'red bell pepper', 'del monte corn kernels', 'coriander', 'cajun spice mix']"
Mango Phirni Recipe - Mango Rice Pudding Recipe,"2 Mango (Ripe) - peeled and diced,1 liter Milk,1/4 cup Rice,1/2 cup Sugar,2 tablespoons Pistachios - thinly sliced,2 tablespoons Badam (Almond) - thinly sliced,1/2 teaspoon Cardamom Powder (Elaichi),5 Saffron strands",Dessert,North Indian Recipes,Vegetarian,"To begin making the Mango Phirni Recipe, wash and soak the rice for 2-3 hours. Drain and pat dry on an absorbent cloth. Once the rice is dry, blend into a coarse powder - the texture will be similar to semolina.Puree half the mangoes and keep the other half in cut pieces.In a heavy bottomed pan; add the milk and bring it to a roaring boil.Once it begins to boil, turn the heat to low and simmer the milk until it condenses to half its volume. Keep stirring the milk while it is simmering.  This process of reducing the milk adds to the richness of the phirni.Once the milk is reduced to half add the ground rice to milk. You will notice that the milk will begin to thicken. Once it starts thickening, add the sugar, cardamom powder and saffron. You might want to add some more milk, if the milk has thickened a little too much. Adjust the consistency as desired.Keep stirring the phirni for another 5 to 10 minutes till the mixture attains its full flavor and has an almost pudding-like consistency.Turn off the heat and allow the phirni to cool completely. Once cooled, stir in the pureed mangoes into the phirni and refrigerate for at least 5 hours. Once you are ready to serve, spoon the Mango Phirni them into small glasses or cups, sprinkle with the sliced pistachios and almonds and serve.Serve the Mango Phirni as a dessert after a delicious North Indian Meal or even after a simple sunday lunch for the family.",55,North Indian,Dessert,"['mango', 'milk', 'rice', 'sugar', 'pistachios', 'badam', 'cardamom powder', 'saffron strands']"
Stuffed Kathal Recipe,"250 grams Jackfruit Raw (Kathal),Mustard oil - for frying,3 Onions,2 Tomatoes - boiled and pureed,5 cloves Garlic,1/2 inch Ginger,1 tablespoon Garam masala powder,1 tablespoon Coriander (Dhania) Seeds,4 Cloves (Laung),1 tablespoon Kashmiri Red Chilli Powder,1 teaspoon Turmeric powder (Haldi),2 tablespoon Curd (Dahi / Yogurt),Salt - to taste,1 Onion - finely chopped,1 teaspoon Fennel seeds (Saunf),1 teaspoon Mustard oil,1 teaspoon Garlic Butter,50 grams Paneer (Homemade Cottage Cheese) - finely chopped,Black pepper powder - to taste,Salt - to taste,1/2 cup Mozzarella cheese - grated",Lunch,Indian,Vegetarian,"To begin making the Stuffed Kathal,  let us first cut the raw jackfruit. In order to do that we have to first, grease our hands and the knife that we are going to use, with some oil.This important tip ensures that the hands don't get sticky from the natural fruit latex/sap present in the fruit does not get onto your hands and makes the cutting process hassle-free. Keep a bowl of water mixed with some salt, ready to put the cut raw jackfruit pieces to avoid discolouration of the fruit.Now that your hands and knife are well greased, cut the the jackfruit in half, discard the skin and start making 1 inch pieces and soak them in the salted water.Place the jackfruit in a pressure cooker with 1/4 cup of water and pressure cook for 1 whistle and turn off the heat.Allow the pressure to release naturally. Drain any water from the jackfruit and set aside.Heat mustard oil in a pan on medium heat, shallow fry until crisp. This will take about 5-7 minutes. Drain on an absorbent paper and set aside. In a pan, heat garlic butter on low heat, add fennel seeds and allow it to sizzle, next add the onions and fry till soft, for about 3 minutes. Next add paneer and fry well. Turn off the flame. Stuffing for the stuffed kathal is ready.Take Kathal pieces and stuff the jackfruits with the onion-paneer stuffing. Sprinkle salt and pepper over the stuffed kathal, give it a quick mix and let it rest for an hour while the flavours infuse. Meanwhile, to prepare the gravy.Heat oil in a pan, on medium heat, add onions and saute for a couple of minutes. Once thee onions are transparent, add tomatoes and give it a good mix, cover and cook until mushy, this will take about 3-4 minutes. turn off the flame. Once the onion-tomato cools down, grind it in a mixer to a coarse paste. Heat a kadai on medium flame, transfer the coarse tomato-onion mixture and add chilli powder, garam masala and turmeric powder, curd and saute till the masala is cooked well and comes together.Adjust spices and salt according to your taste.Once done, pour this thick masala in an Oven Safe Bowl. Put in the stuffed Kathal/jackfruit.Sprinkle grated mozzarella and bake in the preheated oven at 180 degrees Celsius for 10-15 minutes.Garnish with spring onions and serve Stuffed Kathal  with hot Laccha paratha/tawa paratha recipe for a weeknight dinner. ",60,Indian,Lunch,"['jackfruit raw', 'mustard oil', 'onions', 'tomatoes', 'cloves garlic', 'inch ginger', 'garam masala powder', 'coriander seeds', 'cloves', 'kashmiri red chilli powder', 'turmeric powder', 'curd', 'onion', 'fennel seeds', 'garlic butter', 'paneer', 'black pepper powder', 'mozzarella cheese']"
Gujarati Meetha Pudla Recipe With Caramelized Bananas,"1/2 Cup Jaggery - grated,1/3 cup Water,1 cup Whole Wheat Flour,Nutralite Classic Spread - as required,Nutralite Classic Spread - as required,1 Ripe Bananas - sliced into rounds (large banana),2 tablespoons Jaggery - powdered,1 teaspoon Cardamom Powder (Elaichi),1/2 cup Fresh coconut,1/4 cup Cashew nuts",Dessert,Gujarati Recipes﻿,Vegetarian,"To prepare Gujarati Meetha Pudla Recipe, in a mixing bowl, soak jaggery in water for few minutes to be dissolved.Add whole wheat flour into jaggery water and blend it using blender or you can use your fingers to mix the jaggery well into the batter. Pudla Batter should not be thin, but instead of a thick spreading consistency.Heat a flat skillet and melt the Nutralite Classic on the pan over medium heat. Spoon the pudla batter and make mini pancakes with the pudla batter. Allow the meetha pudla to look on medium heat and you will notice the top of the pudla getting cooked.  Once the top is cooked, flip over and cook on the other side until golden brown.To make the stuffing, heat a skillet and met the Nutralite classic and jaggery. Once melted, add the bananas and the cardamom powder. Gently caramelize the bananas in the jaggery until it gets well coated and sticky.Once done, turn off the heat.In another small pan, melt a little Nutralite Classic again, add the cashew nuts and roast on medium heat until light browned and crisp.Place these mini meetha pudla on a serving platter, spoon the caramelized bananas with jaggery, sprinkle some coconut and top it with roasted cashew nuts and serve the Meetha Pudla as a sweet for parties and festivals.",40,Gujarati,Dessert,"['jaggery', 'wheat flour', 'nutralite classic spread', 'ripe bananas', 'cardamom powder', 'coconut', 'cashew nuts']"
Rajgira Puri Recipe (Navratri Fasting/Vrat Recipe),"2 cups Rajgira Flour (Amaranth Flour),1 Potato (Aloo) - boiled,1/2 teaspoon Black pepper powder,Rock Salt - or salt to taste,Sunflower Oil - to fry",Indian Breakfast,North Indian Recipes,Vegetarian,"We begin making the Rajgira Puri(Navratri Fasting/Vrat Recipe) by mixing all the ingredients into a bowl. THe rajgira flour has less gluten so it might be little difficult to work with.Knead it to a dough which is moist and not very sticky.Make small balls out of the dough and dust the rolling table with rajgira flour and flatten the puris with the rolling pin. See to that you make small thick size round out of the dough.As you have rolled all the dough now, heat a Kadai and add oil. When oil gets heated, gently add a flattened puri.Using a frying spoon or slotted spoon gently press the puri, put some hot oil on top and move in a circular way.You will notice that the puri gets puffed and rises up. At this point, turn it to the other side and fry till it turns golden brown. Do not keep the puri in oil for more than 2 Minutes else it will become brittle.Drain it on kitchen towel.Continue the deep frying process for all the other flattened puris.Serve your soft Rajgira Puri(Navratri Fasting/Vrat Recipe) with Apple Tamatar Ki Subzi or Lauki Paneer Kofta Curry.",55,North Indian,Breakfast,"['rajgira flour', 'potato', 'black pepper powder', 'rock', 'sunflower oil']"
Spiced Rajma Pulao Recipe - Spiced Kidney Bean Rice,"1 cup Basmati rice,1/4 cup Rajma (Large Kidney Beans),2 cloves Garlic - finely chopped,2 Cloves (Laung),1 Bay leaf (tej patta),1 inch Cinnamon Stick (Dalchini),2 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Black pepper powder,1 tablespoon Ghee,Salt - to taste",Dinner,Indian,Vegetarian,"To begin making the Rajma Pulao Recipe, we will first have to soak the kidney beans for at least 8 hours. Once soaked well, cook the beans in the pressure cooker along with salt until soft.Drain the excess liquids from the Rajma and you can use it for a soup or vegetable stock. We only need the beans for the Pulao Recipe.Once the beans is cooked, we will proceed to make the Pulao. Rinse the rice in water and keep aside.Using a pestle and motar pound the cardamom, cinnamon and cloves to a fine powder and set aside.In a saucepan, heat a tablespoon of ghee. Add the garlic and the spices and stir-fry for a few seconds until you can smell the aromas coming through. Add the rice, the cooked rajma, the black pepper powder, salt to taste along with 1-1/2 cups of water.Allow the pulao mixture to come to a boil and then turn the heat to low. Cover the pan and simmer to cook the rice until the rice has been fully cooked and all the water has been absorbed.Turn off the heat and let the Rajma Pulao to rest for 10 minutes before you can open to stir. Serve the Rajma Pulao with Punjabi Kadhi or Palak Raita accompanied along with crispy Masala Papad.
",65,Indian,Dinner,"['basmati rice', 'rajma', 'cloves garlic', 'cloves', 'bay', 'inch cinnamon stick', 'cardamom pods seeds', 'black pepper powder', 'ghee']"
Gulkand Kala Jamun Recipe,"1 cup Khoya (Mawa),3 tablespoons All Purpose Flour (Maida),1 tablespoon Sooji (Semolina/ Rava),1 pinch Cooking soda,Sunflower Oil - to deep fry,2 tablespoons Gulkand,1/2 teaspoon Cardamom Powder (Elaichi) - 1/2 tsp Cardamom powder,1 tablespoon Cashew nuts - finely chopped,2 cups Water,1-1/2 cups Sugar,1 pinch Saffron strands,1 teaspoon Rose water,1/2 teaspoon Cardamom Powder (Elaichi),1 Edible Silver Foil/Leaf (Chandi Ka Vark),10 Rose Petals - (dry or fresh)",Dessert,Rajasthani,Vegetarian,"To prepare Gulkand Kala Jamun Recipe, proceed with making khoya balls first.How to make Khoya BallsIn a large mixing bowl, add khoya with maida, sooji and baking powder and gently knead to form a soft dough. Do not knead heavily, just gather the mix together and form a lump, cover it with a muslin cloth and keep aside to rest for 10 mins.Heat sufficient oil in a wok for deep frying.Meanwhile prepare the balls.Grease your hands lightly with ghee and pinch a small lemon sized ball from the dough mix.Make a depression in the center with your index finger and drop little gulkand, small pinch of cardamom powder and few chopped nuts in the center.Fold the dough mix from the sides towards inside and seal the ball.Now gently roll the ball between your palm and keep aside in a tray.Similarly make many more balls from the dough mix and line them on a tray.How to make Sugar SyrupTo make sugar syrup, in a saucepan add water and sugar and allow it to come to boil.Now add saffron, rosewater and cardamom powder and let the sugar cook with water till it gets a one string consistency. Turn off heat and keep aside.Frying the khoya ballsWhile the sugar syrup is getting done, start by heating a deep frying pan with enough oil to deep fry. As soon as the oil is medium hot, lower the flames to medium heat and drop in the gulkand stuffed khoya balls in equal batches. Remember not to overcrowd the kadai.Simmer the gas and allow the balls fry from all sides till they turn almost black in color.Transfer the fried balls on a kitchen napkin for about 30 seconds, or until to drop the second batch into oil. Transfer to the prepared sugar syrup.Turn off the gas and drop the fried balls in the syrup and let them rest for sometime so that the syrup gets inside the balls nicely.Gulkand stuffed kala jamun is ready to serve when garnished with edible silver and rose petals. Serve them as dessert during festivals.",35,Rajasthani,Dessert,"['khoya', 'all purpose flour', 'sooji', 'cooking soda', 'sunflower oil', 'gulkand', 'cardamom powder', 'cashew nuts', 'saffron strands', 'rose', 'edible silver foil', 'rose petals']"
Karnataka Style Churumuri Recipe-Spicy Puffed Rice Recipe,"2 cup Puffed rice,1 Mango (Raw) - grated,1 Carrot (Gajjar) - grated,1 Cucumber - chopped,1 Onion - chopped,1 Tomato - chopped,4 tablespoon Raw Peanuts (Moongphali) - roasted (optional),1/2 cup Chivda,1/2 cup Coriander (Dhania) Leaves,3 Green Chillies - chopped,4 cloves Garlic",Snack,Karnataka,Vegetarian,To begin making the Karnataka Style Churumuri first make the green chutney by grinding all the ingredients listed in a mixer to a coarse paste.Prep all the ingredients and keep it ready. Take a bowl and add all the ingredients  into it along with the chutney and toss it.You can add salt according to your taste. If you want some sweetness you can add Date and Tamarind Chutney Recipe - Khajur Imli Chutney. Serve the Karnataka Style Churumuri (Spicy Puffed Rice Recipe) along with some chat Chatpati Chana Dal Recipe (Chaat) and Aam Ka Panna Recipe (Raw Mango Juice) .,25,Karnataka,Snack,"['puffed rice', 'mango', 'carrot', 'cucumber', 'onion', 'tomato', 'raw peanuts', 'chivda', 'coriander', 'green chillies', 'cloves garlic']"
Hare Chane Ka Pulav Recipe,"1 tablespoon Ghee,1 teaspoon Cumin seeds (Jeera),2 Cloves (Laung),2 Dry Red Chilli,1 Potato (Aloo) - peeled and cut into small cubes,2 Onion - thinly sliced,1 Green Chilli - finely chopped,1 cup Rice,1 cup Hara Chana,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,Salt - as required,1 teaspoon Lemon juice - Juice from half lemon,Coriander (Dhania) Leaves - few sprigs finely chopped",Lunch,North Indian Recipes,Vegetarian,"To begin making the Hare Chane Ka Pulav, firstly heat ghee in a wok. Add cumin seeds, cloves, red dry chillies and let it cook for about 15-20 seconds.After 15-20 seconds, add onions and green chillies and let it cook till the onions become soft and translucent.Once it is done, add in the potatoes for about 2 minutes on medium heat. After 2 minutes add in the hare chane. Cover the lid and cook it till the potatoes are half cooked.Next, add the rice, red chilli powder, turmeric powder, lemon juice and salt. Mix everything properly and cook it for abut 2-3 minutes.Add the required water, cover the lid and let it cook on medium flame till the water is absorbed. If the rice is still not cooked, add more water and cook it for few more minutes.Once done, switch off the heat and garnish it with chopped coriander leaves.Serve Hare Chane Ka Pulav with Burani Raita for a healthy and light meal.",60,North Indian,Lunch,"['ghee', 'cumin seeds', 'cloves', 'red chilli', 'potato', 'onion', 'green chilli', 'rice', 'hara chana', 'turmeric powder', 'red chilli powder', 'lemon juice', 'coriander']"
Maharashtrian Achar Ka Masala (Pickle Mix Recipe),"250 gram Kashmiri Red Chilli Powder,200 gram Mustard seeds,1 tablespoon Fennel seeds (Saunf),2 tablespoon Methi Powder (Fenugreek Powder),1-1/2 cup Turmeric powder (Haldi),2 cup Salt,2 tablespoons Asafoetida (hing),2 tablespoons Peanut oil",Side Dish,Maharashtrian Recipes,Vegetarian,"To prepare Maharashtrian Achar Ka Masala recipe, Heat oil in a kadai over medium heat. Add hing, fenugreek powder and saute it for a few seconds until aroma rises.Add chilli powder , mustard, dal, fennel seeds, turmeric (except salt) and mix well. Turn off the heat.Now add salt and mix well.Let the Maharashtrian Achar Ka Masala cool down to room temperature.Keep it in airtight bottles until required for Spicy Lime Pickle, Aam ka Achar, or in dishes like Achari paneer.",20,Maharashtrian,Side Dish,"['kashmiri red chilli powder', 'mustard seeds', 'fennel seeds', 'methi powder', 'asafoetida', 'peanut oil']"
Bengali Style Dhokar Dalna Recipe (Spiced Lentil Cakes in Tomato Gravy Recipe),"1/2 cup Chana dal (Bengal Gram Dal),1/2 cup White Urad Dal (Whole),1/2 inch Ginger - grated,1 Green Chilli - chopped,2 teaspoon Cumin seeds (Jeera) - roasted,Salt - to taste,1 teaspoon Sugar,1 Tomato - blanched and pureed,1 Potato (Aloo) - cubed,1 inch Ginger - grated,2 Green Chillies - finely chopped,1 teaspoon Turmeric powder (Haldi),2 teaspoon Red Chilli powder,2 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1/2 teaspoon Cumin seeds (Jeera),Ghee - for cooking",Main Course,Bengali Recipes,Vegetarian,"We begin making the Bengali Style Dhokar Dalna Recipe (Spiced Lentil Cakes in Tomato Gravy Recipe) by soaking the dal for at least three hours. Then into the grinder, add all the ingredients along with the dal and little water and grind it into a smooth rice batter consistency.Pour the batter into the Dhokla Pan and steam it for about 30 minutes. Till it is firm and not sticky. Place it outside and let it cool. Cut into diamonds and pan fry them using a shallow frying pan till it is brown and crisp on either side.Next for the gravy blanch the tomatoes in boiling water over a sauce pan for about 2 minutes. Then remove the skin and blitz it in a mixer to a smooth puree.Heat a kadai with oil and add ingredient along with the ginger that are mentioned in the seasoning list. Let it sauté for few minutes. Then add the tomato puree, along with all the spice and sauté till the raw smell goes away. Add 1 cup water and let it simmer for about 20 minutes.Once done add in the cakes and can served by sprinkling chopped coriander leaves.Serve the Bengali Style Dhokar Dalna Recipe (Spiced Lentil Cakes in Tomato Gravy Recipe) along with Hot Phulka to enjoy your meal.",225,Bengali,Main Course,"['chana dal', 'white urad dal', 'inch ginger', 'green chilli', 'cumin seeds', 'sugar', 'tomato', 'potato', 'green chillies', 'turmeric powder', 'red chilli powder', 'cumin powder', 'coriander powder', 'bay', 'cardamom pods seeds', 'inch cinnamon stick', 'ghee']"
Dahi Suran Ki Kadhi Recipe - Yam Cooked In Yogurt Curry,"300 grams Elephant yam (Suran/Senai/Ratalu) - peeled and diced,1/2 cup Curd (Dahi / Yogurt),1 tablespoon Gram flour (besan),1/2 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Whole Black Peppercorns - crushed,1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),Salt - to taste,Sunflower Oil - for cooking",Dinner,North Indian Recipes,Vegetarian,"We begin making the Dahi Suran Ki Kadhi Recipe (Yam Cooked In Yogurt Curry Recipe) by cooking the diced yam in the pressure cooker with 1/2 cup water and a little salt, pressure cook it for 4 whistles till it is soft and firm. Let the pressure release naturally by itself.The next step is to make the Kadhi so for that add curd in a saucepan and then add 2 cups water and besan flour. Keep mixing it on a low heat and bring it to a boil. Add some salt, red chilli powder, turmeric powder, coriander seeds, stir well and let it cook in low heat for few more minutes. Later add in the boiled yam to the kadhi. Once that is done, it is time to make the temper for the kadhi. Heat a small shallow pan with oil and then add cumin seeds, cinnamon, bay leaf , fenugreek seeds and fresh ground peppercorns.Let the spices get roasted little and sprinkle the tempered spices on to the kadhi mixture. Serve the Dahi Suran Ki Sabzi Recipe (Yam Cooked In Yogurt Curry Recipe) with Bhindi Masala, Jeera Rice and Phulka for an everyday meal.",45,North Indian,Dinner,"['elephant yam', 'curd', 'flour', 'mustard seeds', 'methi seeds', 'turmeric powder', 'red chilli powder', 'coriander powder', 'black peppercorns', 'inch cinnamon stick', 'bay', 'sunflower oil']"
Cabbage Poricha Kootu Recipe (Red Cabbage) - South Indian Cabbage Dal,"2 cups Cabbage (Patta Gobi/ Muttaikose) - (Red/ Green Cabbage) roughly chopped,1 cup Yellow Moong Dal (Split),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Fresh coconut - grated,2 teaspoons Cumin seeds (Jeera),2 teaspoons Whole Black Pepper Corns,1/2 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 sprig Curry leaves,1 teaspoon Coconut Oil",Lunch,Tamil Nadu,Vegetarian,"To begin making Cabbage Poricha Kootu Recipe, into the pressure cooker, add the chopped cabbage (red cabbage or green cabbage) and 2 tablespoons of water, sprinkle some salt and turmeric powder and pressure cook for 1 whistle.Turn off the heat and release the pressure immediately by running it under cold water. This will prevent the cabbage from getting over cooked. Transfer to a bowl and keep this aside.In the same pressure cooker, add the washed the moong dal along with turmeric powder and 1 cup water. Pressure cook for 2 to 3 whistles. After 2 to 3 whistles, turn off the heat, release the pressure naturally and keep it aside.In a mixer grinder, add grated coconut, cumin seeds and black peppercorns along with 1/4 cup of warm water and grind to a smooth paste. Keep aside - this is the poricha kootu masala. Add the cabbage, coconut masala to the pressure cooked moong dal and give it a quick stir. Add salt to taste and give the Cabbage Poricha Kootu a brisk boil and turn off the heat. Give it a taste and adjust the salt and seasonings accordingly.Transfer the Cabbage Poricha Kootu to a serving bowl.Last step is to heat the oil in a small tadka pan, add the mustard, urad dal seeds and let it splutter. Allow the dal to turn golden brown. Stir in the curry leaves, cook for 10 seconds and turn off the heat.Add this tadka over the prepared Cabbage Poricha Kootu and give it a stir. Serve hot.Serve the Cabbage Poricha Kootu Recipe  (Red Cabbage / Green Cabbage) along with Phulkas/Steamed Rice, Beetroot Thoran and Carrot Cucumber Tomato Salad for a delicious and simple weeknight dinner.",35,Tamil Nadu,Lunch,"['cabbage', 'yellow moong dal', 'turmeric powder', 'coconut', 'cumin seeds', 'black pepper corns', 'mustard seeds', 'white urad dal', 'curry', 'coconut oil']"
Pyaaz Ki Kachori Recipe,"3 Onions - finely chopped,1-1/2 cup All Purpose Flour (Maida),1/2 cup Whole Wheat Flour,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Kalonji (Onion Nigella Seeds),1/2 teaspoon Fennel seeds (Saunf) - coarsely crushed,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1/4 teaspoon Asafoetida (hing),1 teaspoon Garam masala powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Amchur (Dry Mango Powder),2 teaspoons Ginger Garlic Paste,1 teaspoon Whole Black Peppercorns - crushed coarsely,1 pinch Baking soda,2 tablespoons Sunflower Oil,Sunflower Oil - for frying,Salt - to taste,2 sprig Coriander (Dhania) Leaves - finely chopped",Snack,North Indian Recipes,Vegetarian,"To begin making the Pyaaz Ki Kachori recipe, heat a cast iron pan with 2 tablespoons of oil. Once the oil is hot,  add asafoetida and saute it for a few seconds.Add cumin seeds and saute till brown. Next, add ginger paste, garlic paste, red chilli powder, onions and saute till the onion turn slightly brown and translucent.Once the onion turns brown, add amchur powder, coarsely crushed fennel seeds, kalonji, coriander powder, crushed black peppercorns, garam masala and mix well.Lastly, add kasuri methi, chopped fresh coriander and mix again to blend well. Allow the mixture to cool and add salt just before stuffing. The filling of kachori is ready.The next step is to make the dough. Sieve maida, wheat flour and baking soda into a bowl. Make a well in the center and add sizzling hot oil and salt. Mix well with a spoon.Now add sufficient water and knead the dough. Cover the dough with a clean kitchen towel for about 20 minutes.Grease your palms and make small balls of the dough. Flatten the balls slightly and shape into small katoris /cups with your fingers. Place some of the onion filling in the center and gather all the edges and seal. Flatten the kachoris with your hands and make all the kachoris in the same way.Next, we will fry these Kachoris. Heat the required amount of  oil in a heavy bottomed pan and once the oil is hot, add the kachoris one by one. Fry them from both the sides till it turn golden and crispy.Once done, take them out on an absorbent paper.Serve this crispy and mouth watering Pyaaz Ki Kachori with Dhaniya Pudina Chutney and Date and Tamarind Chutney for your evening snacks or tea party snacks. You can also serve it as an appetizer for potluck or as a starter for your dinner parties.",60,North Indian,Snack,"['onions', 'wheat flour', 'cumin seeds', 'kalonji', 'fennel seeds', 'kasuri methi', 'asafoetida', 'garam masala powder', 'coriander powder', 'red chilli powder', 'amchur', 'ginger garlic paste', 'black peppercorns', 'baking soda', 'sunflower oil', 'coriander']"
